vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag,tpep_pickup_seconds,pickup_longitude2,pickup_latitude2,dropoff_longitude2,dropoff_latitude2
VTS,2013-05-08 04:01:00,2013-05-08 04:11:00,1,1.97,-73.98898699999998,40.730847,1,-73.99509999999998,40.750037,CRD,9.5,0.5,0.5,2.0,0,12.5,"{'type': 'Point', 'coordinates': [-73.988987, 40.730847]}","{'type': 'Point', 'coordinates': [-73.9951, 40.750037]}",,14460.0,987302.280809357,205544.03305670997,985607.6563074413,212535.40489694913
CMT,2013-05-08 04:01:09,2013-05-08 04:11:33,1,4.0,-74.005375,40.72655,1,-73.964689,40.764101,CSH,13.0,0.5,0.5,0.0,0,14.0,"{'type': 'Point', 'coordinates': [-74.005375, 40.72655]}","{'type': 'Point', 'coordinates': [-73.964689, 40.764101]}",N,14469.0,982760.20908841,203978.35604312018,994031.648901631,217661.31196187797
CMT,2013-05-08 04:01:11,2013-05-08 04:17:35,1,1.2,-73.999137,40.727893,1,-73.971018,40.790264,CSH,18.0,0.5,0.5,0.0,0,19.0,"{'type': 'Point', 'coordinates': [-73.999137, 40.727893]}","{'type': 'Point', 'coordinates': [-73.971018, 40.790264]}",N,14471.0,984489.1932367024,204467.60811789692,992275.2722814471,227192.73010087057
CMT,2013-05-08 04:01:14,2013-05-08 04:14:54,1,3.8,-73.95015999999998,40.780083,1,-73.996413,40.76067,CRD,14.5,0.5,0.5,4.65,0,20.15,"{'type': 'Point', 'coordinates': [-73.95016, 40.780083]}","{'type': 'Point', 'coordinates': [-73.996413, 40.76067]}",N,14474.0,998053.0750703175,223486.0435530155,985243.701198391,216409.33470591484
CMT,2013-05-08 04:01:16,2013-05-08 04:08:30,1,0.5,-73.992175,40.727476,1,-74.005437,40.705887,CRD,8.0,0.5,0.5,2.0,0,11.0,"{'type': 'Point', 'coordinates': [-73.992175, 40.727476]}","{'type': 'Point', 'coordinates': [-74.005437, 40.705887]}",N,14476.0,986418.8282582746,204315.777751081,982742.5572642762,196450.195711677
CMT,2013-05-08 04:01:16,2013-05-08 04:07:12,1,0.6999999999999998,-73.989193,40.760274,1,-73.979078,40.745012,CSH,7.5,0.5,0.5,0.0,0,8.5,"{'type': 'Point', 'coordinates': [-73.989193, 40.760274]}","{'type': 'Point', 'coordinates': [-73.979078, 40.745012]}",N,14476.0,987243.8646985333,216265.22326309717,990047.3525745388,210705.29052352632
CMT,2013-05-08 04:01:21,2013-05-08 04:13:04,4,4.6,-73.98795,40.721082,1,-73.960848,40.759712,CSH,15.0,0.5,0.5,0.0,0,16.0,"{'type': 'Point', 'coordinates': [-73.98795, 40.721082]}","{'type': 'Point', 'coordinates': [-73.960848, 40.759712]}",N,14481.0,987590.1773820969,201986.37880266135,995096.3751353286,216062.70750265633
CMT,2013-05-08 04:01:23,2013-05-08 04:23:34,1,6.5,-73.98132599999998,40.769007,1,-74.01087699999998,40.703663,CSH,23.0,0.5,0.5,0.0,0,24.0,"{'type': 'Point', 'coordinates': [-73.981326, 40.769007]}","{'type': 'Point', 'coordinates': [-74.010877, 40.703663]}",N,14483.0,989422.5824861795,219447.30995084372,981234.1821536551,195640.06632828902
CMT,2013-05-08 04:01:25,2013-05-08 04:03:23,1,0.4,-74.000155,40.738853,0,-73.999887,40.743301,CRD,3.5,0.5,0.5,1.35,0,5.85,"{'type': 'Point', 'coordinates': [-74.000155, 40.738853]}","{'type': 'Point', 'coordinates': [-73.999887, 40.743301]}",,14485.0,984207.0465190202,208460.67869706132,984281.312382732,210081.22631494678
CMT,2013-05-08 04:01:30,2013-05-08 04:11:07,1,0.5,-73.974648,40.72565,1,-74.00859699999998,40.712143,CSH,10.0,0.5,0.5,0.0,0,11.0,"{'type': 'Point', 'coordinates': [-73.974648, 40.72565]}","{'type': 'Point', 'coordinates': [-74.008597, 40.712143]}",N,14490.0,991276.918840536,203651.42928867927,981866.6509143312,198729.5153971508
