vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag
VTS,2013-05-08T04:01:00.000,2013-05-08T04:05:00.000,1,1.3300000000000001,-73.96772,40.756231999999997,1,-73.957269999999994,40.766171999999997,CSH,6,0.5,0.5,0,0,7,"{'type': 'Point', 'coordinates': [-73.96772, 40.756232]}","{'type': 'Point', 'coordinates': [-73.95727, 40.766172]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:08:00.000,1,0.23000000000000001,-74.003309999999999,40.742086999999998,1,-74.010576999999998,40.713876999999997,CRD,8.5,0.5,0.5,2.25,0,11.75,"{'type': 'Point', 'coordinates': [-74.00331, 40.742087]}","{'type': 'Point', 'coordinates': [-74.010577, 40.713877]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:07:00.000,1,2,-73.986317,40.737912000000001,1,-73.969561999999996,40.757787,CSH,8,0.5,0.5,0,0,9,"{'type': 'Point', 'coordinates': [-73.986317, 40.737912]}","{'type': 'Point', 'coordinates': [-73.969562, 40.757787]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:12:00.000,2,2.6499999999999999,-74.006647000000001,40.744419999999998,1,-73.997223000000005,40.713317000000004,CSH,10.5,0.5,0.5,0,0,11.5,"{'type': 'Point', 'coordinates': [-74.006647, 40.74442]}","{'type': 'Point', 'coordinates': [-73.997223, 40.713317]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:14:00.000,2,3.6200000000000001,-73.987840000000006,40.748485000000002,1,-74.005984999999995,40.706896999999998,CRD,13.5,0.5,0.5,4.2000000000000002,0,18.699999999999999,"{'type': 'Point', 'coordinates': [-73.98784, 40.748485]}","{'type': 'Point', 'coordinates': [-74.005985, 40.706897]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:06:00.000,1,1.6100000000000001,-74.005664999999993,40.726081999999998,1,-74.005925000000005,40.741190000000003,CSH,7,0.5,0.5,0,0,8,"{'type': 'Point', 'coordinates': [-74.005665, 40.726082]}","{'type': 'Point', 'coordinates': [-74.005925, 40.74119]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:11:00.000,1,4.1699999999999999,-73.973506999999998,40.755017000000002,1,-73.969409999999996,40.797907000000002,CSH,13.5,0.5,0.5,0,0,14.5,"{'type': 'Point', 'coordinates': [-73.973507, 40.755017]}","{'type': 'Point', 'coordinates': [-73.96941, 40.797907]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:13:00.000,1,3.0299999999999998,-73.990222000000003,40.760817000000003,1,-73.988524999999996,40.729137000000001,CSH,12,0.5,0.5,0,0,13,"{'type': 'Point', 'coordinates': [-73.990222, 40.760817]}","{'type': 'Point', 'coordinates': [-73.988525, 40.729137]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:07:00.000,5,1.27,-73.986936999999998,40.729652000000002,1,-73.997874999999993,40.716616999999999,CSH,6.5,0.5,0.5,0,0,7.5,"{'type': 'Point', 'coordinates': [-73.986937, 40.729652]}","{'type': 'Point', 'coordinates': [-73.997875, 40.716617]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:04:00.000,5,0.70999999999999996,-73.989570000000001,40.725811999999998,1,-73.983705,40.720526999999997,CSH,4.5,0.5,0.5,0,0,5.5,"{'type': 'Point', 'coordinates': [-73.98957, 40.725812]}","{'type': 'Point', 'coordinates': [-73.983705, 40.720527]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:24:00.000,4,5.9800000000000004,-73.981281999999993,40.779322000000001,1,-73.983277000000001,40.727522,CRD,19,0.5,0.5,10,0,30,"{'type': 'Point', 'coordinates': [-73.981282, 40.779322]}","{'type': 'Point', 'coordinates': [-73.983277, 40.727522]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:05:00.000,1,0.81999999999999995,-73.995417000000003,40.754632000000001,1,-73.993397000000002,40.762185000000002,CSH,5,0.5,0.5,0,0,6,"{'type': 'Point', 'coordinates': [-73.995417, 40.754632]}","{'type': 'Point', 'coordinates': [-73.993397, 40.762185]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:03:00.000,1,0.45000000000000001,-73.977213000000006,40.742986999999999,1,-73.981499999999997,40.739707000000003,CSH,3.5,0.5,0.5,0,0,4.5,"{'type': 'Point', 'coordinates': [-73.977213, 40.742987]}","{'type': 'Point', 'coordinates': [-73.9815, 40.739707]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:27:00.000,6,9.1099999999999994,-74.005832999999996,40.725816999999999,1,-73.940039999999996,40.811447000000001,CRD,29.5,0.5,0.5,2,0,32.5,"{'type': 'Point', 'coordinates': [-74.005833, 40.725817]}","{'type': 'Point', 'coordinates': [-73.94004, 40.811447]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:06:00.000,1,0.71999999999999997,-73.997141999999997,40.729747000000003,1,-74.005032,40.733255,CRD,5.5,0.5,0.5,1.8,0,8.3000000000000007,"{'type': 'Point', 'coordinates': [-73.997142, 40.729747]}","{'type': 'Point', 'coordinates': [-74.005032, 40.733255]}",
VTS,2013-05-08T04:01:00.000,2013-05-08T04:06:00.000,2,1.0900000000000001,-74.003281999999999,40.751666999999998,1,-73.994429999999994,40.750827000000001,CSH,5.5,0.5,0.5,0,0,6.5,"{'type': 'Point', 'coordinates': [-74.003282, 40.751667]}","{'type': 'Point', 'coordinates': [-73.99443, 40.750827]}",
CMT,2013-05-08T04:01:09.000,2013-05-08T04:11:33.000,1,4,-74.005375000000001,40.726550000000003,1,-73.964689000000007,40.764100999999997,CSH,13,0.5,0.5,0,0,14,"{'type': 'Point', 'coordinates': [-74.005375, 40.72655]}","{'type': 'Point', 'coordinates': [-73.964689, 40.764101]}",N
CMT,2013-05-08T04:01:11.000,2013-05-08T04:17:35.000,1,1.2,-73.999137000000005,40.727893000000002,1,-73.971018000000001,40.790264000000001,CSH,18,0.5,0.5,0,0,19,"{'type': 'Point', 'coordinates': [-73.999137, 40.727893]}","{'type': 'Point', 'coordinates': [-73.971018, 40.790264]}",N
CMT,2013-05-08T04:01:14.000,2013-05-08T04:14:54.000,1,3.7999999999999998,-73.950159999999997,40.780082999999998,1,-73.996413000000004,40.760669999999998,CRD,14.5,0.5,0.5,4.6500000000000004,0,20.149999999999999,"{'type': 'Point', 'coordinates': [-73.95016, 40.780083]}","{'type': 'Point', 'coordinates': [-73.996413, 40.76067]}",N
CMT,2013-05-08T04:01:16.000,2013-05-08T04:08:30.000,1,0.5,-73.992175000000003,40.727476000000003,1,-74.005437000000001,40.705886999999997,CRD,8,0.5,0.5,2,0,11,"{'type': 'Point', 'coordinates': [-73.992175, 40.727476]}","{'type': 'Point', 'coordinates': [-74.005437, 40.705887]}",N
CMT,2013-05-08T04:01:16.000,2013-05-08T04:07:12.000,1,0.69999999999999996,-73.989193,40.760274000000003,1,-73.979078000000001,40.745012000000003,CSH,7.5,0.5,0.5,0,0,8.5,"{'type': 'Point', 'coordinates': [-73.989193, 40.760274]}","{'type': 'Point', 'coordinates': [-73.979078, 40.745012]}",N
CMT,2013-05-08T04:01:21.000,2013-05-08T04:13:04.000,4,4.5999999999999996,-73.987949999999998,40.721082000000003,1,-73.960847999999999,40.759712,CSH,15,0.5,0.5,0,0,16,"{'type': 'Point', 'coordinates': [-73.98795, 40.721082]}","{'type': 'Point', 'coordinates': [-73.960848, 40.759712]}",N
CMT,2013-05-08T04:01:23.000,2013-05-08T04:23:34.000,1,6.5,-73.981325999999996,40.769007000000002,1,-74.010876999999994,40.703662999999999,CSH,23,0.5,0.5,0,0,24,"{'type': 'Point', 'coordinates': [-73.981326, 40.769007]}","{'type': 'Point', 'coordinates': [-74.010877, 40.703663]}",N
CMT,2013-05-08T04:01:25.000,2013-05-08T04:03:23.000,1,0.40000000000000002,-74.000155000000007,40.738852999999999,0,-73.999887000000001,40.743301000000002,CRD,3.5,0.5,0.5,1.3500000000000001,0,5.8499999999999996,"{'type': 'Point', 'coordinates': [-74.000155, 40.738853]}","{'type': 'Point', 'coordinates': [-73.999887, 40.743301]}",
CMT,2013-05-08T04:01:30.000,2013-05-08T04:11:07.000,1,0.5,-73.974648000000002,40.725650000000002,1,-74.008596999999995,40.712142999999998,CSH,10,0.5,0.5,0,0,11,"{'type': 'Point', 'coordinates': [-73.974648, 40.72565]}","{'type': 'Point', 'coordinates': [-74.008597, 40.712143]}",N
CMT,2013-05-08T04:01:36.000,2013-05-08T04:09:24.000,1,2.1000000000000001,-74.00273,40.726779999999998,1,-74.013525999999999,40.702074000000003,CRD,8.5,0.5,0.5,1.8999999999999999,0,11.4,"{'type': 'Point', 'coordinates': [-74.00273, 40.72678]}","{'type': 'Point', 'coordinates': [-74.013526, 40.702074]}",N
CMT,2013-05-08T04:01:40.000,2013-05-08T04:23:25.000,1,2.5,-74.006080999999995,40.743572,1,-73.974937999999995,40.749277999999997,CSH,16.5,0.5,0.5,0,0,17.5,"{'type': 'Point', 'coordinates': [-74.006081, 40.743572]}","{'type': 'Point', 'coordinates': [-73.974938, 40.749278]}",N
CMT,2013-05-08T04:01:45.000,2013-05-08T04:06:29.000,1,4.2999999999999998,-73.986480999999998,40.760496000000003,1,-73.985761999999994,40.750985,CSH,6,0.5,0.5,0,0,7,"{'type': 'Point', 'coordinates': [-73.986481, 40.760496]}","{'type': 'Point', 'coordinates': [-73.985762, 40.750985]}",N
CMT,2013-05-08T04:01:46.000,2013-05-08T04:06:53.000,1,0.59999999999999998,-73.957881,40.774579000000003,1,-73.947507999999999,40.771366,CRD,5.5,0.5,0.5,1,0,7.5,"{'type': 'Point', 'coordinates': [-73.957881, 40.774579]}","{'type': 'Point', 'coordinates': [-73.947508, 40.771366]}",N
CMT,2013-05-08T04:01:47.000,2013-05-08T04:05:37.000,1,0.59999999999999998,-73.978291999999996,40.765484000000001,1,-73.974283999999997,40.757938000000003,CRD,4.5,0.5,0.5,1,0,6.5,"{'type': 'Point', 'coordinates': [-73.978292, 40.765484]}","{'type': 'Point', 'coordinates': [-73.974284, 40.757938]}",N
CMT,2013-05-08T04:01:49.000,2013-05-08T04:06:31.000,1,1,-73.982765999999998,40.762633999999998,1,-73.994539000000003,40.756763999999997,CSH,5.5,0.5,0.5,0,0,6.5,"{'type': 'Point', 'coordinates': [-73.982766, 40.762634]}","{'type': 'Point', 'coordinates': [-73.994539, 40.756764]}",N
CMT,2013-05-08T04:01:53.000,2013-05-08T04:10:49.000,1,3.5,-73.967905000000002,40.762456999999998,1,-73.993516,40.719413000000003,CSH,12,0.5,0.5,0,0,13,"{'type': 'Point', 'coordinates': [-73.967905, 40.762457]}","{'type': 'Point', 'coordinates': [-73.993516, 40.719413]}",N
CMT,2013-05-08T04:01:53.000,2013-05-08T04:04:30.000,1,0.69999999999999996,-74.000692999999998,40.746136999999997,1,-73.999543000000003,40.738751999999998,CRD,4.5,0.5,0.5,1,0,6.5,"{'type': 'Point', 'coordinates': [-74.000693, 40.746137]}","{'type': 'Point', 'coordinates': [-73.999543, 40.738752]}",N
CMT,2013-05-08T04:01:55.000,2013-05-08T04:05:31.000,1,1,-74.004221999999999,40.751958000000002,1,-73.993099000000001,40.745151999999997,CSH,5,0.5,0.5,0,0,6,"{'type': 'Point', 'coordinates': [-74.004222, 40.751958]}","{'type': 'Point', 'coordinates': [-73.993099, 40.745152]}",N
CMT,2013-05-08T04:01:59.000,2013-05-08T04:04:17.000,1,0.59999999999999998,-73.981966,40.778863999999999,1,-73.982112999999998,40.768783999999997,CSH,4.5,0.5,0.5,0,0,5.5,"{'type': 'Point', 'coordinates': [-73.981966, 40.778864]}","{'type': 'Point', 'coordinates': [-73.982113, 40.768784]}",N
VTS,2013-05-08T04:02:00.000,2013-05-08T04:15:00.000,5,6.9100000000000001,-73.981842,40.773732000000003,1,-73.937083000000001,40.851911999999999,CRD,20.5,0.5,0.5,0,0,21.5,"{'type': 'Point', 'coordinates': [-73.981842, 40.773732]}","{'type': 'Point', 'coordinates': [-73.937083, 40.851912]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:13:00.000,1,1.5900000000000001,-73.974320000000006,40.747622,1,-73.985247000000001,40.760655,CRD,9.5,0.5,0.5,3,0,13.5,"{'type': 'Point', 'coordinates': [-73.97432, 40.747622]}","{'type': 'Point', 'coordinates': [-73.985247, 40.760655]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:11:00.000,1,2.8599999999999999,-73.980199999999996,40.759506999999999,1,-73.996292999999994,40.726367000000003,CRD,10.5,0.5,0.5,2.2000000000000002,0,13.699999999999999,"{'type': 'Point', 'coordinates': [-73.9802, 40.759507]}","{'type': 'Point', 'coordinates': [-73.996293, 40.726367]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:12:00.000,5,4.1500000000000004,-73.991609999999994,40.764854999999997,1,-73.953132999999994,40.812935000000003,CSH,13,0.5,0.5,0,0,14,"{'type': 'Point', 'coordinates': [-73.99161, 40.764855]}","{'type': 'Point', 'coordinates': [-73.953133, 40.812935]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:13:00.000,1,2.6299999999999999,-74.005707000000001,40.743904999999998,1,-74.004755000000003,40.715801999999996,CSH,11,0.5,0.5,0,0,12,"{'type': 'Point', 'coordinates': [-74.005707, 40.743905]}","{'type': 'Point', 'coordinates': [-74.004755, 40.715802]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:05:00.000,1,0.76000000000000001,-73.979956999999999,40.722532000000001,1,-73.983914999999996,40.729567000000003,CSH,4.5,0.5,0.5,0,0,5.5,"{'type': 'Point', 'coordinates': [-73.979957, 40.722532]}","{'type': 'Point', 'coordinates': [-73.983915, 40.729567]}",
VTS,2013-05-08T04:02:00.000,2013-05-08T04:11:00.000,1,1.8700000000000001,-74.007732000000004,40.740676999999998,1,-73.988659999999996,40.727176999999998,CSH,9,0.5,0.5,0,0,10,"{'type': 'Point', 'coordinates': [-74.007732, 40.740677]}","{'type': 'Point', 'coordinates': [-73.98866, 40.727177]}",
